field_name,dtype,required_tasks,description
task_id,string,all,任务标识：task1/task2/task3
model,string,all,模型名称
split,string,all,评估切分名称
seed,int,all,随机种子
n_samples,int,all,评估样本量
class_order,string,all,按竖线连接的固定类别顺序
accuracy,float,all,预测正确样本占比
macro_f1,float,all,各类别F1的等权平均
balanced_accuracy,float,all,各类别召回率的等权平均
roc_auc,float,task1,正类Yes的ROC-AUC
mae,float,task2,按Poor=0/Average=1/Good=2/Excellent=3计算的等级绝对误差
rmse,float,task2,按有序等级编码计算的均方根误差
recall_poor,float,task3,Poor类别召回率
recall_average,float,task3,Average类别召回率
recall_good,float,task3,Good类别召回率
recall_excellent,float,task3,Excellent类别召回率
is_primary,bool,all,是否为该任务当前主基线
