Feature,Input_Type
Age,numeric
Height_cm,numeric
Weight_kg,numeric
BMI,numeric
Sleep_Duration_Hours,numeric
Sleep_Quality_Score,numeric
Number_of_Night_Awakenings,numeric
Weekend_Sleep_Difference_Hours,numeric
Nap_Frequency_Per_Week,numeric
Screen_Time_Before_Bed_Hours,numeric
Exercise_Frequency_Per_Week,numeric
Exercise_Duration_Minutes,numeric
Daily_Steps,numeric
Daily_Calorie_Intake,numeric
Water_Intake_Liters,numeric
Fruit_Intake_Per_Day,numeric
Vegetable_Intake_Per_Day,numeric
Protein_Intake_Grams,numeric
Sugary_Drinks_Per_Week,numeric
Fast_Food_Meals_Per_Week,numeric
Breakfast_Regularity_Score,numeric
Stress_Level,numeric
Working_Hours_Per_Day,numeric
Sitting_Hours_Per_Day,numeric
Outdoor_Time_Hours,numeric
Social_Interaction_Score,numeric
Resting_Heart_Rate,numeric
Systolic_BP,numeric
Diastolic_BP,numeric
Cholesterol_Level,numeric
Blood_Sugar_Level,numeric
Energy_Level_Score,numeric
Fatigue_Level_Score,numeric
Immune_Health_Score,numeric
Mood_Score,numeric
Anxiety_Score,numeric
Depression_Risk_Score,numeric
Productivity_Score,numeric
Focus_Concentration_Score,numeric
Life_Satisfaction_Score,numeric
Gender,categorical
Country,categorical
Occupation,categorical
Marital_Status,categorical
Exercise_Type,categorical
Morning_Workout,categorical
Workout_Intensity,categorical
Gym_Member,categorical
Smoking_Status,categorical
Alcohol_Consumption,categorical
Meditation_Practice,categorical
Obesity_Risk,categorical
Hypertension_Risk,categorical
Diabetes_Risk,categorical
Cardiovascular_Risk,categorical
Sleep_Disorder_Risk,categorical
